,Rosetto,Macchia,Thomas,Paciente4
CellObjects-Mean-Nucelolos-AreaShape-MaximumRadius,0.05388465,0.013053282,0.032354245,0.114213883
CellObjects-Mean-Nucelolos-Distance-Centroid-CellObjects,0.109786637,0.026703865,0.06385561,0.205396904
CellObjects-Mean-Nucelolos-Texture-SumVariance-HEGray-3-03-256,0.686633799,0.142086234,0.397928783,1.875094015
CellObjects-Mean-Nucelolos-Texture-SumVariance-HEGray-3-01-256,0.720943327,0.151159324,0.425263166,2.03609046
CellObjects-Mean-Nucelolos-Texture-Entropy-HEGray-3-03-256,0.066135108,0.015824818,0.03894755,0.136409074
CellObjects-Mean-Nucelolos-Texture-Entropy-HEGray-3-01-256,0.066660329,0.015959091,0.039248164,0.137674694
CellObjects-Mean-Nucelolos-Texture-SumVariance-HEGray-3-02-256,0.883299062,0.186369337,0.522318792,2.405342434
CellObjects-Mean-Nucelolos-Texture-Entropy-HEGray-3-00-256,0.071762829,0.017174151,0.042063145,0.14537715
CellObjects-Mean-Nucelolos-Texture-Entropy-HEGray-3-02-256,0.071805553,0.017216497,0.042191882,0.146015466
CellObjects-Mean-Nucelolos-Texture-SumVariance-HEGray-3-00-256,0.878919626,0.18557603,0.520128347,2.387848236
Cytoplasm-Granularity-13-HEGray,0.147702279,0.102190201,0.118730075,0.134820671
CellObjects-Mean-Nucelolos-Intensity-IntegratedIntenstyEdg-HEGry,0.087573659,0.020814363,0.052745821,0.189044134
CellObjects-Mean-Nucelolos-Texture-Contrast-HEGray-3-01-256,0.657531798,0.134239635,0.356843984,1.428075231
CellObjects-Mean-Nucelolos-Texture-Contrast-HEGray-3-02-256,0.438046025,0.092375121,0.242048623,0.974109074
CellObjects-Mean-Nucelolos-AreaShape-MinFeretDiameter,0.102561578,0.024703505,0.061667171,0.220455882
CellObjects-Mean-Nucelolos-AreaShape-MinorAxisLength,0.110047936,0.026520294,0.065973449,0.233368557
CellObjects-Mean-Nucelolos-Texture-Contrast-HEGray-3-03-256,0.712719975,0.148400109,0.395528195,1.687723487
CellObjects-Mean-Nucelolos-Texture-SumEntropy-HEGray-3-00-256,0.049564006,0.011784627,0.029038016,0.101346053
CellObjects-Mean-Nucelolos-Texture-SumEntropy-HEGray-3-02-256,0.049590443,0.011834164,0.029107133,0.101821042
Cytoplasm-Granularity-14-HEGray,0.191379141,0.129469949,0.160498051,0.195975265
