"","g00-Rosetto","g01-Macchia","g02-Thomas","g04-Paciente4"
"ImageNumber",0.662282826689822,0.715395758153157,0.679812649312037,0.710780606364109
"ObjectNumber",3.21890969263551,3.20789331556235,2.24317960401766,3.0553890841298
"CellObjects-Number-Object-Number",3.21890969263551,3.20789331556235,2.24317960401766,3.0553890841298
"CellObjects-AreaShape-Area",5.30108818168113,5.31608419494566,5.52555166441158,5.48205304019512
"CellObjects-AreaShape-BoundingBoxArea",5.71491111456224,5.72409417520992,5.86979704685483,5.89184193520291
"CellObjects-AreaShape-BoundingBoxMaximum-X",4.10564945076917,4.20061044381634,4.07255311319932,4.1511983524653
"CellObjects-AreaShape-BoundingBoxMaximum-Y",3.84846156131003,3.93703393811255,3.8257667791018,3.90114485210558
"CellObjects-AreaShape-BoundingBoxMinimum-X",3.97336505027015,4.06797729487784,3.92526734182656,4.00697325322135
"CellObjects-AreaShape-BoundingBoxMinimum-Y",3.6713320141509,3.77314561138972,3.64075678663982,3.71932626908512
"CellObjects-AreaShape-Center-X",4.04630095871508,4.14126771853003,4.00683389361031,4.08679112570344
"CellObjects-AreaShape-Center-Y",3.77017228537159,3.86415200737879,3.74424446421357,3.82100692576969
"CellObjects-AreaShape-Compactness",0.0911981994053655,0.0991280268968944,0.0810750007672889,0.095196281768243
"CellObjects-AreaShape-ConvexArea",5.36498671217789,5.37571566252492,5.56374344084303,5.54647960837202
"CellObjects-AreaShape-Eccentricity",0.0448419733711613,0.0485687198257578,0.0405012331742657,0.0453523585839019
"CellObjects-AreaShape-EquivalentDiameter",1.65869730873888,1.70330932168862,1.73211194902751,1.74942385400445
"CellObjects-AreaShape-EulerNumber",0.0693186499664753,0.076421411907556,0.0665334271477516,0.0723278976487614
"CellObjects-AreaShape-Extent",0.0464962377212895,0.0516700655849124,0.0476951316812957,0.048672802479794
"CellObjects-AreaShape-FormFactor",0.0528775519520153,0.0591711776480205,0.0548453875034888,0.0551734678913915
"CellObjects-AreaShape-MajorAxisLength",1.80006952990589,1.83984374391241,1.85056395897207,1.88268466597042
"CellObjects-AreaShape-MaxFeretDiameter",1.83162973941161,1.86827939308709,1.86105107509178,1.91698105413013
"CellObjects-AreaShape-MaximumRadius",1.00091696952729,1.04141071231345,1.08683558706723,1.07833508784531
"CellObjects-AreaShape-MeanRadius",0.4961350604471,0.522501394288863,0.548977148233804,0.541528835376841
"CellObjects-AreaShape-MedianRadius",0.454685741860088,0.479316485047939,0.504271883264954,0.496368327757335
"CellObjects-AreaShape-MinFeretDiameter",1.56395271410593,1.60868755552115,1.63239728107312,1.66184419302306
"CellObjects-AreaShape-MinorAxisLength",1.5541557420622,1.60309238460407,1.6346754571022,1.6532109630912
"CellObjects-AreaShape-Orientation",1.91395495949908,1.87762532711909,1.81690263539598,1.82568530688467
"CellObjects-AreaShape-Perimeter",2.79378915598878,2.83831825099246,2.84092268544241,2.89780556354113
"CellObjects-AreaShape-Solidity",0.0651611063255451,0.0721636604587449,0.0641124014260453,0.0679283817263923
"CellObjects-Children-ASCspecs-Count",0.162359042887933,0.136485575369834,0.150407242033604,0.200297726828866
"CellObjects-Children-Cytoplasm-Count",0.0693186499664753,0.0764181641753318,0.0665334271477516,0.0723278976487614
"CellObjects-Children-NucObjects-Count",0.0693186499664753,0.0764181641753318,0.0665334271477516,0.0723278976487614
"CellObjects-Children-Nucelolos-Count",0.0133460503521702,0.00281982020984503,0.00738481747513761,0.0347919480286586
"CellObjects-Location-Center-X",4.04630095871508,4.14126771853003,4.00683389361031,4.08679112570344
"CellObjects-Location-Center-Y",3.77017228537159,3.86415200737879,3.74424446421357,3.82100692576969
"CellObjects-Location-Center-Z",0,0,0,0
"CellObjects-Mean-ASCspecs-AreaShape-Area",3.38606020933144,3.54076522664621,3.22317700359323,3.55710142030836
"CellObjects-Mean-ASCspecs-AreaShape-BoundingBoxArea",4.22014223154032,4.27120403448258,3.88070557541028,4.27557966912351
"CellObjects-Mean-ASCspecs-AreaShape-BoundingBoxMaximum-X",4.05983065275889,4.11600457997811,3.96134820677482,4.09702654942348
"CellObjects-Mean-ASCspecs-AreaShape-BoundingBoxMaximum-Y",3.79479361880566,3.84917422253117,3.70772568119499,3.84138878015299
"CellObjects-Mean-ASCspecs-AreaShape-BoundingBoxMinimum-X",3.99828953628161,4.05083274039552,3.90681332106923,4.03569723788827
"CellObjects-Mean-ASCspecs-AreaShape-BoundingBoxMinimum-Y",3.7121021322442,3.77076292400628,3.63778920011427,3.7609740728446
"CellObjects-Mean-ASCspecs-AreaShape-Center-X",4.03008788405692,4.0845088162443,3.93437825785277,4.06709424903632
"CellObjects-Mean-ASCspecs-AreaShape-Center-Y",3.7549633252053,3.8114114209777,3.67348203491517,3.80255714207885
