,g00-Pac01,g01-Pac02,g02-Pac03,g04-Pac04
ImageNumber,14.35192509,14.57802634,15.50157113,15.36271487
ObjectNumber,446.3068851,402.6455439,159.5368946,359.648636
CellObjects-Number-Object-Number,446.3068851,402.6455439,159.5368946,359.648636
CellObjects-AreaShape-Area,2936.731375,2720.704808,3829.985914,3387.339266
CellObjects-AreaShape-BoundingBoxArea,4443.232262,4086.352246,5395.784809,5085.919189
CellObjects-AreaShape-BoundingBoxMaximum-X,1055.893212,1059.016868,1064.073897,1058.514808
CellObjects-AreaShape-BoundingBoxMaximum-Y,799.5840665,799.1074779,811.8060462,806.5310164
CellObjects-AreaShape-BoundingBoxMinimum-X,991.682097,994.8784954,991.18236,987.9385277
CellObjects-AreaShape-BoundingBoxMinimum-Y,731.0339818,736.0169132,738.3080507,735.1236921
CellObjects-AreaShape-Center-X,1023.329415,1026.455315,1027.156078,1022.660447
CellObjects-AreaShape-Center-Y,764.8127635,767.0809585,774.5852747,770.3336425
CellObjects-AreaShape-Compactness,1.330141589,1.312787442,1.22735104,1.329103879
CellObjects-AreaShape-ConvexArea,3128.288159,2884.802454,3974.311518,3605.901579
CellObjects-AreaShape-Eccentricity,0.638805073,0.626625783,0.599688147,0.616294536
CellObjects-AreaShape-EquivalentDiameter,60.55829062,58.26412044,69.24278982,65.03444191
CellObjects-AreaShape-EulerNumber,1,1.000045102,1,1
CellObjects-AreaShape-Extent,0.663156803,0.667512471,0.710488798,0.666324672
CellObjects-AreaShape-FormFactor,0.757022139,0.767848738,0.819993101,0.758094615
CellObjects-AreaShape-MajorAxisLength,72.06691261,68.8202617,79.95895963,76.26066562
CellObjects-AreaShape-MaxFeretDiameter,74.74146746,71.07010088,80.89600592,79.32504475
CellObjects-AreaShape-MaximumRadius,24.49380603,23.75145424,29.25705954,26.5824811
CellObjects-AreaShape-MeanRadius,9.084492437,8.821376286,10.82050069,9.777910205
CellObjects-AreaShape-MedianRadius,8.13643672,7.899826427,9.693689858,8.738447951
CellObjects-AreaShape-MinFeretDiameter,53.9126504,51.92492422,61.39367766,58.58994478
CellObjects-AreaShape-MinorAxisLength,53.26850609,51.58990574,61.59258655,58.02115822
CellObjects-AreaShape-Orientation,93.59441786,88.05533635,91.75476384,86.07088146
CellObjects-AreaShape-Perimeter,218.9183657,209.0950805,240.4786187,234.7523675
CellObjects-AreaShape-Solidity,0.938232476,0.942276342,0.962645176,0.937814548
CellObjects-Children-ASCspecs-Count,2.53591896,1.934196284,2.499945823,3.085341928
CellObjects-Children-Cytoplasm-Count,1,1,1,1
CellObjects-Children-NucObjects-Count,1,1,1,1
CellObjects-Children-Nucelolos-Count,0.215271612,0.048664983,0.131108462,0.51887145
CellObjects-Location-Center-X,1023.329415,1026.455315,1027.156078,1022.660447
CellObjects-Location-Center-Y,764.8127635,767.0809585,774.5852747,770.3336425
CellObjects-Location-Center-Z,0,0,0,0
CellObjects-Mean-ASCspecs-AreaShape-Area,477.8437878,522.6420754,451.3447314,553.1600162
CellObjects-Mean-ASCspecs-AreaShape-BoundingBoxArea,1139.371691,1101.317881,921.3002293,1164.668091
CellObjects-Mean-ASCspecs-AreaShape-BoundingBoxMaximum-X,1035.560114,1029.422265,1025.858481,1033.657235
CellObjects-Mean-ASCspecs-AreaShape-BoundingBoxMaximum-Y,779.0717229,773.0209707,776.577413,783.3421177
CellObjects-Mean-ASCspecs-AreaShape-BoundingBoxMinimum-X,1005.074411,997.0068613,997.8706671,1002.979299
CellObjects-Mean-ASCspecs-AreaShape-BoundingBoxMinimum-Y,745.9487889,742.3737779,747.941329,750.8844325
CellObjects-Mean-ASCspecs-AreaShape-Center-X,1019.887249,1012.762796,1011.302976,1017.825624
CellObjects-Mean-ASCspecs-AreaShape-Center-Y,762.0215235,757.2742448,761.7284423,766.6474265
CellObjects-Mean-ASCspecs-AreaShape-Compactness,3.571958467,3.81591527,2.447214145,3.207611067
CellObjects-Mean-ASCspecs-AreaShape-ConvexArea,767.8659988,778.481034,623.893863,804.7095783
CellObjects-Mean-ASCspecs-AreaShape-Eccentricity,0.787122036,0.719291671,0.776443958,0.766556615
CellObjects-Mean-ASCspecs-AreaShape-EquivalentDiameter,23.12697815,24.26747916,22.25609593,24.49367026
CellObjects-Mean-ASCspecs-AreaShape-EulerNumber,1.384730646,1.96707058,2.416272378,1.71290042
CellObjects-Mean-ASCspecs-AreaShape-Extent,0.45786211,0.487977566,0.524297086,0.515023814
CellObjects-Mean-ASCspecs-AreaShape-FormFactor,0.377979179,0.33609897,0.484226615,0.426485381
CellObjects-Mean-ASCspecs-AreaShape-MajorAxisLength,40.57559019,38.95577616,34.93743869,38.89839395
CellObjects-Mean-ASCspecs-AreaShape-MaxFeretDiameter,38.00552987,36.56649447,33.85038209,37.12039711
CellObjects-Mean-ASCspecs-AreaShape-MaximumRadius,5.369621658,5.778639479,6.49805177,6.159264779
CellObjects-Mean-ASCspecs-AreaShape-MeanRadius,2.244746948,2.2914132,2.63216461,2.4967814
CellObjects-Mean-ASCspecs-AreaShape-MedianRadius,2.05936852,2.09589112,2.372390573,2.272246174
CellObjects-Mean-ASCspecs-AreaShape-MinFeretDiameter,22.18250245,23.63096017,19.42141175,22.75310349
CellObjects-Mean-ASCspecs-AreaShape-MinorAxisLength,23.07882181,24.99382066,19.25816219,23.1745824
CellObjects-Mean-ASCspecs-AreaShape-Orientation,94.88029098,91.09804926,90.27592417,87.20982461
CellObjects-Mean-ASCspecs-AreaShape-Perimeter,144.7811148,154.2140683,114.3994852,146.8748187
CellObjects-Mean-ASCspecs-AreaShape-Solidity,0.684489489,0.691547111,0.762329862,0.745734115
CellObjects-Mean-ASCspecs-Classify-Cromatina,0.92481456,0.928222676,0.85512459,0.87825466
CellObjects-Mean-ASCspecs-Classify-Nucleolo,0.06955511,0.055053779,0.123321715,0.112945133
CellObjects-Mean-ASCspecs-Distance-Centroid-CellObjects,14.45484663,12.23289737,16.28628076,18.41909737
CellObjects-Mean-ASCspecs-Granularity-10-HEGray,1.152831053,0.055964927,0.009368301,2.703645514
CellObjects-Mean-ASCspecs-Granularity-11-HEGray,2.370168101,0.204078136,0.008705386,2.444332691
CellObjects-Mean-ASCspecs-Granularity-12-HEGray,1.620276821,0.215231773,0.033549146,1.998174614
CellObjects-Mean-ASCspecs-Granularity-13-HEGray,1.433426301,0.263748135,0.112660234,1.992914547
CellObjects-Mean-ASCspecs-Granularity-14-HEGray,1.599726239,0.348257232,0.186570957,3.308469892
CellObjects-Mean-ASCspecs-Granularity-15-HEGray,2.237402077,0.347127833,0.056527416,2.354975804
CellObjects-Mean-ASCspecs-Granularity-16-HEGray,1.830834843,0.310286708,0.302295888,2.437463271
CellObjects-Mean-ASCspecs-Granularity-1-HEGray,48.15200807,51.95297124,58.51111694,48.79905921
CellObjects-Mean-ASCspecs-Granularity-2-HEGray,0.408624623,0.104670154,0.054053503,0.397635416
CellObjects-Mean-ASCspecs-Granularity-3-HEGray,0.297070819,0.044109154,0.010732868,0.450027206
